file_size,file_entropy,mime_mismatch,filename_length,filename_complexity,special_char_count,is_hidden,is_executable_ext,is_script_ext,is_macro_ext,is_archive_ext,has_double_extension,is_dangerous_extension,suspicious_string_count,suspicious_url_count,suspicious_cmd_count,powershell_indicator,javascript_indicator,vba_macro_indicator,obfuscation_score,encoded_content_indicator,eval_indicator,nested_archive_depth,archive_has_executable,archive_has_script,compression_ratio,non_ascii_ratio,magic_entropy,magic_is_pe,extension_category,label
11872,5.3662,0,31,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.02,0,0,0,0,0,1.0,0.0629,2.7367,0,document,CLEAN
2924,3.9741,0,26,0.1154,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,1.0,0.1749,2.6449,0,document,CLEAN
8222,6.1729,0,24,0.0417,1,0,0,1,0,0,0,1,1,3,1,0,0,0,0.47,0,1,0,0,0,1.49,0.2732,3.9734,0,script,SUSPICIOUS
8973694,4.3935,0,18,0.1111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,1.0,0.2225,2.2909,0,document,CLEAN
10715,5.6871,0,43,0.0465,2,0,0,1,0,0,0,1,3,1,2,0,0,0,0.53,1,0,0,0,0,3.22,0.3214,4.1952,0,script,SUSPICIOUS
17873,6.8,0,27,0.037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,1.0,0.2342,4.4193,0,document,CLEAN
65763,6.0501,0,29,0.1034,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0.15,0,0,0,0,0,1.0,0.0737,3.721,0,media,CLEAN
2544,3.6106,0,12,0.1667,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,0,0,0,0,0,1.0,0.0726,2.2734,0,document,CLEAN
107932,5.1671,0,12,0.1667,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09,0,0,0,0,0,1.0,0.0505,3.1678,0,document,CLEAN
294,7.0162,1,45,0.1111,5,0,0,1,0,0,0,1,1,3,0,1,1,0,0.29,0,1,0,0,0,3.24,0.409,5.2647,0,script,SUSPICIOUS
901614,5.215,0,34,0.0294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,1.0,0.3143,3.8781,0,media,CLEAN
19972,5.9797,1,15,0.2,3,0,0,1,0,0,0,1,3,0,2,1,1,0,0.42,1,0,0,0,0,2.1,0.1783,4.512,0,script,SUSPICIOUS
76055,4.8387,0,28,0.0714,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0.07,0,0,0,0,0,1.0,0.2722,4.77,0,media,CLEAN
12297,3.6002,0,28,0.0357,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0.02,0,0,0,0,0,1.0,0.1764,4.8605,0,document,CLEAN
476004,4.8706,0,9,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,0,0,0,0,0,1.0,0.2663,4.9492,0,document,CLEAN
210824,5.0401,0,34,0.0294,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.06,0,0,0,0,0,1.0,0.0513,2.6877,0,document,CLEAN
99978,4.2057,0,18,0.0556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,1.0,0.159,2.2677,0,document,CLEAN
231952,4.8465,0,22,0.0909,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07,0,0,0,0,0,1.0,0.2963,3.4365,0,document,CLEAN
1601441,4.2344,0,25,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,1.0,0.2639,3.2544,0,document,CLEAN
31397,6.0626,0,29,0.069,2,0,0,1,0,0,0,1,1,3,2,0,0,0,0.55,0,0,0,0,0,2.37,0.4495,4.9164,0,script,SUSPICIOUS
1401,6.4634,0,41,0.1463,6,0,0,1,0,0,0,1,1,1,0,1,0,0,0.41,0,0,0,0,0,3.25,0.4564,4.2307,0,script,SUSPICIOUS
61165,5.3012,0,26,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,1.0,0.0836,4.6066,0,document,CLEAN
7109,6.117,0,31,0.0968,3,0,0,1,0,0,0,1,2,2,2,1,1,0,0.49,1,0,0,0,0,2.26,0.3157,4.7817,0,script,SUSPICIOUS
12084,2.9865,0,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,1.0,0.1783,4.6129,0,media,CLEAN
97961,5.5735,0,12,0.1667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,1.0,0.1579,4.8853,0,document,CLEAN
109384,5.0417,0,11,0.2727,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,1.0,0.2214,2.7518,0,media,CLEAN
42320,3.5286,0,24,0.125,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,1.0,0.2389,4.5155,0,document,CLEAN
44723,6.4105,0,31,0.0645,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,1.0,0.3366,2.3118,0,document,CLEAN
80031,4.9928,0,29,0.1034,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,0,0,0,0,0,1.0,0.1353,2.211,0,document,CLEAN
1381257,5.7833,0,32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0.155,4.0611,0,image,CLEAN
81435,6.0837,0,20,0.3,6,0,0,0,1,0,0,0,3,2,1,0,1,1,0.5,0,1,0,0,0,2.36,0.3712,4.8443,0,document,SUSPICIOUS
7904,7.3519,0,14,0.5,7,1,0,0,0,0,0,1,6,7,6,1,0,1,0.66,1,1,0,0,0,2.45,0.3599,6.484,0,archive,MALICIOUS
37990,4.2818,0,12,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,2.32,0.1927,3.9516,0,archive,CLEAN
279029,3.4942,0,20,0.1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0.12,0,0,0,0,0,1.0,0.2114,2.4804,0,document,CLEAN
43161,3.8431,0,8,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.14,0,0,0,0,0,1.0,0.0832,4.374,0,document,CLEAN
13828,5.6012,0,22,0.0909,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0.04,0,0,0,0,0,1.0,0.2698,4.6407,0,document,CLEAN
156478,7.99,0,54,0.037,2,0,0,1,0,0,0,1,15,1,6,1,1,0,0.88,1,0,0,0,0,3.87,0.6088,6.3534,1,script,MALICIOUS
85620,4.2788,0,33,0.0606,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0.152,2.1014,0,document,CLEAN
11684,7.0451,1,43,0.0698,3,0,1,0,0,0,1,1,12,4,1,1,0,0,0.95,1,1,0,0,0,4.61,0.5893,6.5051,1,executable,MALICIOUS
308513,3.7389,0,14,0.0714,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15,0,0,0,0,0,1.0,0.1842,3.8978,0,image,CLEAN
15408,7.3607,0,13,0.3077,4,0,1,0,0,0,0,1,12,1,1,1,1,0,0.88,1,1,0,0,0,3.43,0.3884,7.1508,1,executable,MALICIOUS
475006,3.9305,0,27,0.1111,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.12,0,0,0,0,0,1.0,0.2989,2.5997,0,document,CLEAN
21351,4.3131,0,19,0.0526,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09,0,0,0,0,0,1.0,0.1727,4.8093,0,media,CLEAN
321760,7.0223,1,48,0.0833,4,1,0,1,0,0,1,1,6,2,4,0,0,0,0.78,1,1,0,0,0,2.59,0.5225,4.5291,0,script,MALICIOUS
44367,5.1396,0,11,0.0909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.0,0.0633,4.9508,0,document,CLEAN
59866,6.3469,1,34,0.2647,9,0,0,0,0,0,0,1,6,7,4,0,0,1,0.52,1,0,0,0,0,3.63,0.5367,5.3029,1,archive,MALICIOUS
35424,5.3325,0,30,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.02,0,0,0,0,0,1.0,0.1184,2.5104,0,document,CLEAN
1360,5.8721,0,14,0.1429,2,0,0,1,0,0,0,1,4,1,1,0,1,0,0.52,0,1,0,0,0,1.37,0.1924,4.5431,0,script,SUSPICIOUS
16190,4.432,0,28,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,1.0,0.3392,3.9431,0,document,CLEAN
37521,5.4972,0,9,0.3333,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.03,0,0,0,0,0,1.0,0.1461,4.3994,0,document,CLEAN
27666,5.4476,0,14,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09,0,0,0,0,0,1.0,0.054,3.2622,0,document,CLEAN
6234,6.7404,0,24,0.0417,1,1,0,1,0,0,0,1,4,0,2,0,0,0,0.37,0,1,0,0,0,1.76,0.2142,3.3279,0,script,SUSPICIOUS
3858,4.3116,0,28,0.0357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.0,0.2584,4.9458,0,document,CLEAN
101361,5.1475,0,15,0.2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0.07,0,0,0,0,0,1.0,0.1486,4.1011,0,media,CLEAN
113311,4.3394,0,8,0.375,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.11,0,0,0,0,0,1.0,0.171,2.7178,0,document,CLEAN
247747,6.0363,0,8,0.375,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09,0,0,0,0,0,1.0,0.3002,2.1528,0,document,CLEAN
492741,5.3777,0,21,0.0476,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.11,0,0,0,0,0,1.0,0.0767,4.1921,0,image,CLEAN
740764,5.0547,0,19,0.0526,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.09,0,0,0,0,0,1.0,0.1531,3.8679,0,image,CLEAN
11062,4.5788,0,14,0.0714,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.01,0,0,0,0,0,1.0,0.1187,4.5767,0,media,CLEAN
231373,5.3548,0,24,0.0417,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.05,0,0,0,0,0,1.0,0.1278,2.7853,0,image,CLEAN
66311,4.8624,0,31,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.12,0,0,0,0,0,1.0,0.2894,3.4234,0,media,CLEAN
15637,4.5429,0,25,0.12,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0,0,0,0,0,1.0,0.2715,2.9214,0,document,CLEAN
27467,5.4153,0,8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06,0,0,0,0,0,1.0,0.2108,4.7156,0,document,CLEAN
869081,4.1034,0,20,0.1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.13,0,0,0,0,0,1.0,0.125,3.4293,0,document,CLEAN
792826,5.8345,0,8,0.375,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,1.0,0.2038,4.0511,0,image,CLEAN
915649,4.3884,0,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,1.0,0.0625,2.1068,0,document,CLEAN
3158,5.0102,0,44,0.1364,6,0,0,1,0,0,0,1,4,1,2,1,0,0,0.41,1,0,0,0,0,3.3,0.374,4.8642,0,script,SUSPICIOUS
28088,4.9118,0,27,0.037,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0.14,0,0,0,0,0,2.29,0.0942,4.6047,0,archive,CLEAN
82849,5.5009,0,15,0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,1.0,0.242,3.6653,0,image,CLEAN
19578,3.6027,0,17,0.1176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,1.0,0.1215,2.1173,0,document,CLEAN
117773,5.9663,0,23,0.1304,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.13,0,0,0,0,0,1.0,0.2112,4.1474,0,image,CLEAN
15354,6.8649,1,19,0.2632,5,0,1,0,0,0,1,1,13,1,2,1,0,1,0.92,1,1,0,0,0,4.93,0.6343,6.1177,1,executable,MALICIOUS
2203,4.4788,0,35,0.0571,2,1,0,1,0,0,0,1,1,0,0,1,1,0,0.33,0,0,0,0,0,1.94,0.3257,5.1386,0,script,SUSPICIOUS
14087,3.448,0,17,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,1.0,0.0538,3.4435,0,document,CLEAN
138626,6.2473,0,20,0.1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0.12,0,0,0,0,0,1.91,0.2001,2.4799,0,archive,CLEAN
21849,4.0398,0,31,0.0645,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,1.0,0.2534,4.2206,0,document,CLEAN
13006,6.7632,0,42,0.0714,3,0,0,1,0,0,0,1,3,0,0,0,0,0,0.35,1,0,0,0,0,1.63,0.5144,4.2222,0,script,SUSPICIOUS
1189,7.3,0,36,0.1389,5,0,0,1,0,0,0,1,1,3,2,0,0,0,0.3,0,1,0,0,0,2.36,0.4384,3.3383,0,script,SUSPICIOUS
176928,4.6829,0,28,0.0714,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1.0,0.1907,3.8942,0,image,CLEAN
23918,4.377,0,19,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.02,0,0,0,0,0,1.0,0.3017,4.6883,0,document,CLEAN
16743,6.9554,1,25,0.08,2,0,0,0,0,1,0,1,5,5,2,1,0,0,0.67,1,0,2,1,0,4.64,0.6391,6.0541,1,archive,MALICIOUS
161539,4.2595,0,31,0.0323,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05,0,0,0,0,0,1.0,0.245,2.0099,0,image,CLEAN
743437,5.0062,0,26,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05,0,0,0,0,0,1.0,0.0517,2.3621,0,document,CLEAN
25107,5.3138,0,16,0.1875,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0.02,0,0,0,0,0,1.0,0.3104,4.2162,0,document,CLEAN
123106,6.2622,0,23,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.08,0,0,0,0,0,1.0,0.2118,3.4095,0,document,CLEAN
1935656,5.3608,0,9,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.05,0,0,0,0,0,1.0,0.0798,2.4387,0,document,CLEAN
99067,6.1796,0,8,0.25,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0.14,0,0,0,0,0,1.0,0.3172,4.6301,0,document,CLEAN
5241,6.8445,1,28,0.25,7,0,0,1,0,0,0,1,5,6,6,1,0,0,0.6,1,1,0,0,0,2.3,0.4576,5.5785,1,archive,MALICIOUS
77750,3.9229,0,30,0.1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.13,0,0,0,0,0,1.0,0.0871,2.2807,0,document,CLEAN
3409,4.4503,0,23,0.087,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.03,0,0,0,0,0,1.0,0.3455,4.3994,0,document,CLEAN
20412,3.5555,0,21,0.0952,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14,0,0,0,0,0,1.0,0.0707,4.8013,0,document,CLEAN
599209,4.8001,0,30,0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.0,0.1749,3.1567,0,image,CLEAN
28394,3.028,0,10,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,0,0,0,0,0,1.0,0.1188,4.4378,0,document,CLEAN
1510141,5.4879,0,15,0.0667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,1.0,0.0632,4.6576,0,media,CLEAN
7439,5.2951,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,1.0,0.205,2.0024,0,document,CLEAN
7900,5.9625,0,15,0.2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07,0,0,0,0,0,1.0,0.0537,2.5654,0,document,CLEAN
6463,5.0894,0,25,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,1.0,0.2638,2.3789,0,document,CLEAN
1030207,4.2015,0,29,0.1034,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,1.0,0.1779,4.9579,0,media,CLEAN
30270,3.58,0,30,0.1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0.05,0,0,0,0,0,1.0,0.2002,4.1136,0,document,CLEAN
29525,4.6637,0,11,0.0909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.0,0.3353,3.6812,0,document,CLEAN
8379,4.794,0,19,0.0526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1.0,0.2658,2.5976,0,document,CLEAN
503,4.9381,0,12,0.4167,5,0,0,1,0,0,0,1,2,3,0,0,1,0,0.52,0,0,0,0,0,2.74,0.4202,4.9721,0,script,SUSPICIOUS
118806,2.7174,0,29,0.0345,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,1.0,0.0792,4.4717,0,document,CLEAN
2238408,5.1458,0,32,0.0312,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0.05,0,0,0,0,0,1.0,0.2758,2.1679,0,image,CLEAN
78925,4.7291,0,29,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.09,0,0,0,0,0,1.0,0.1044,2.3603,0,media,CLEAN
360614,3.6361,0,13,0.0769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,1.0,0.3112,2.5954,0,document,CLEAN
167323,6.0181,0,35,0.0571,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05,0,0,0,0,0,1.0,0.1136,2.3815,0,document,CLEAN
695301,4.7773,0,10,0.3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0.06,0,0,0,0,0,1.0,0.0825,3.1358,0,document,CLEAN
5732,5.6055,0,33,0.0303,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.12,0,0,0,0,0,1.0,0.2645,4.0173,0,document,CLEAN
225923,4.1901,0,12,0.0833,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04,0,0,0,0,0,1.0,0.1821,3.9127,0,document,CLEAN
434687,4.8155,0,30,0.1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.14,0,0,0,0,0,1.0,0.2893,3.127,0,media,CLEAN
2804,6.9199,0,35,0.1143,4,0,0,0,0,0,0,1,9,4,6,1,0,0,0.53,1,0,0,0,0,2.66,0.8077,5.1819,0,archive,MALICIOUS
786042,3.7043,0,28,0.1071,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,1.0,0.2552,2.3693,0,document,CLEAN
70413,3.8651,0,33,0.0303,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01,0,0,0,0,0,1.0,0.0801,4.4781,0,document,CLEAN
2367,4.9386,0,30,0.0667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,1.0,0.2862,2.9836,0,document,CLEAN
107488,5.4252,0,22,0.1364,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.01,0,0,0,0,0,1.0,0.17,2.2547,0,image,CLEAN
7775,4.2063,0,36,0.0556,2,0,0,0,1,0,0,0,2,3,1,0,0,1,0.23,1,1,0,0,0,2.67,0.4817,3.1425,0,document,SUSPICIOUS
18405,5.4061,0,34,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.04,0,0,0,0,0,1.0,0.263,4.5422,0,document,CLEAN
1612,4.0957,0,13,0.1538,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.14,0,0,0,0,0,1.0,0.0564,2.8427,0,document,CLEAN
412125,4.9922,0,23,0.0435,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.07,0,0,0,0,0,1.0,0.3225,3.6147,0,document,CLEAN
80786,4.6109,0,26,0.1154,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,0,0,0,0,0,1.0,0.0943,3.2979,0,document,CLEAN
55185,6.002,0,19,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.1,0,0,0,0,0,1.0,0.1688,3.9477,0,image,CLEAN
271513,5.1512,0,27,0.1111,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,0,0,0,0,0,1.0,0.2476,2.9626,0,image,CLEAN
4590318,3.0431,0,25,0.08,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.13,0,0,0,0,0,1.0,0.3323,3.2688,0,image,CLEAN
177831,4.0484,0,19,0.1579,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0.1,0,0,0,0,0,1.0,0.0738,4.7158,0,document,CLEAN
115525,4.1423,0,35,0.0857,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.03,0,0,0,0,0,1.0,0.3012,3.3886,0,document,CLEAN
45297,5.5144,0,34,0.0294,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09,0,0,0,0,0,1.0,0.0775,3.9439,0,document,CLEAN
33365,4.8016,0,15,0.0667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,1.0,0.2897,3.7773,0,document,CLEAN
181781,7.1933,0,23,0.3913,9,0,0,0,0,0,0,1,6,2,2,1,0,0,0.94,1,0,0,0,0,2.02,0.3608,7.1949,0,archive,MALICIOUS
1710,5.8111,0,22,0.0909,2,0,0,1,0,0,0,1,3,3,0,0,0,0,0.58,1,0,0,0,0,2.24,0.3356,5.2796,0,script,SUSPICIOUS
13537,5.0336,0,23,0.1304,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,0,0,0,0,0,1.0,0.1291,4.559,0,document,CLEAN
943007,7.4656,1,25,0.08,2,0,1,0,0,0,0,1,6,5,4,1,0,0,0.87,1,1,0,0,0,2.22,0.6129,6.3239,1,executable,MALICIOUS
719980,5.2277,0,18,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.05,0,0,0,0,0,1.0,0.2088,3.3881,0,document,CLEAN
39092,7.1208,1,42,0.1905,8,0,1,0,0,0,0,1,6,1,6,1,0,0,0.64,0,0,0,0,0,4.59,0.804,5.8173,1,executable,MALICIOUS
1713,6.221,0,36,0.1111,4,0,0,0,1,0,0,0,3,1,0,0,1,1,0.27,1,0,0,0,0,3.48,0.496,3.9129,0,document,SUSPICIOUS
21819,3.621,0,29,0.069,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0,0,0,0,0,1.0,0.276,3.2716,0,document,CLEAN
